split,subgroup,model,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
family_type,single,main,0.4727104532839963,0.012025901942645698,0.02960222016651249,0.0018501387604070306,0.3635522664199815,0.12025901942645699,0.0,0.0,0.0,0.0,0.0
family_type,single,main_no_nash,0.4801110083256244,0.0,0.0027752081406105457,0.04810360777058279,0.04717853839037928,0.039777983348751156,0.22201665124884365,0.15541165587419056,0.0,0.0018501387604070306,0.0027752081406105457
family_type,single,cgan,0.4301572617946346,0.0,0.0,0.056429232192414434,0.35707678075855687,0.15633672525439407,0.0,0.0,0.0,0.0,0.0
family_type,single,cwgan,0.46808510638297873,0.016651248843663275,0.0074005550416281225,0.06475485661424607,0.2913968547641073,0.1517113783533765,0.0,0.0,0.0,0.0,0.0
family_type,single,cvae,0.44033302497687327,0.06845513413506013,0.025901942645698426,0.08788159111933395,0.23774283071230343,0.10545790934320073,0.0,0.0,0.02312673450508788,0.0074005550416281225,0.0037002775208140612
family_type,single,gan,0.4958371877890842,0.07955596669750231,0.013876040703052728,0.08880666049953746,0.2414431082331175,0.06753006475485661,0.0,0.0018501387604070306,0.009250693802035153,0.0,0.0018501387604070306
family_type,single,wgan,0.5652173913043478,0.02682701202590194,0.0074005550416281225,0.058279370952821465,0.23589269195189638,0.1026827012025902,0.0,0.0,0.0018501387604070306,0.0,0.0018501387604070306
family_type,single,vae,0.6873265494912119,0.004625346901017576,0.0027752081406105457,0.028677150786308975,0.18316373728029603,0.08603145235892692,0.0,0.0,0.0,0.0,0.0074005550416281225
family_type,couple,real,0.4043707611152977,0.059532780708364735,0.03421250941974378,0.09178598342125094,0.21793519216277318,0.14951017332328562,0.0007535795026375283,0.009947249434815373,0.019442351168048228,0.005727204220045215,0.006782215523737754
family_type,couple,main,0.5149962321024868,0.019140919366993216,0.018688771665410702,0.007686510926902789,0.2611906556141673,0.17015825169555387,0.0,0.0037678975131876413,0.0006028636021100226,0.0,0.0037678975131876413
family_type,couple,main_no_nash,0.49178598342125096,0.0028636021100226076,0.00904295403165034,0.05124340617935192,0.030293896006028637,0.03330821401657875,0.20150715900527505,0.1653353428786737,0.0,0.011002260738507913,0.003617181612660136
family_type,couple,cgan,0.5112283345892992,0.00452147701582517,0.0,0.04114544084400904,0.27339864355689525,0.1602110022607385,0.0,0.008138658628485305,0.0012057272042200451,0.0,0.00015071590052750564
family_type,couple,cwgan,0.5211755840241146,0.039035418236623966,0.009796533534287867,0.0611906556141673,0.2455162019593067,0.1199698568198945,0.0,0.00015071590052750564,0.0024114544084400903,0.0,0.0007535795026375283
family_type,couple,cvae,0.4771665410700829,0.06495855312735493,0.031650339110776186,0.07475508666164281,0.23602110022607384,0.09886963074604371,0.0,0.002562170308967596,0.007083647324792766,0.0021100226073850793,0.004822908816880181
family_type,couple,gan,0.40391861341371516,0.0560663149962321,0.027882441597588545,0.08590806330067823,0.3152976639035418,0.0985681989449887,0.0,0.002562170308967596,0.008892238131122833,0.0,0.000904295403165034
family_type,couple,wgan,0.5685003767897513,0.03391107761868877,0.012207987942727958,0.0480783722682743,0.22501883948756593,0.1094197437829691,0.0,0.0,0.000904295403165034,0.0,0.0019593067068575734
family_type,couple,vae,0.6684250188394876,0.01039939713639789,0.0013564431047475508,0.03089675960813866,0.18040693293142426,0.10052750565184627,0.0,0.0,0.0,0.0,0.0079879427279578
family_type,family_with_children,real,0.3427073403241182,0.05052430886558627,0.03956148713060057,0.09008579599618685,0.2471401334604385,0.18374642516682554,0.0,0.015252621544327931,0.011677788369876072,0.002859866539561487,0.01644423260247855
family_type,family_with_children,main,0.5188274547187798,0.020495710200190656,0.020734032411820782,0.017874165872259293,0.2090085795996187,0.20567206863679696,0.0007149666348903718,0.0038131553860819827,0.0,0.0,0.002859866539561487
family_type,family_with_children,main_no_nash,0.4520972354623451,0.0019065776930409914,0.021448999046711152,0.03336510962821735,0.035986653956148716,0.046234509056244044,0.18660629170638704,0.20781696854146806,0.0,0.014299332697807437,0.00023832221163012392
family_type,family_with_children,cgan,0.4473307912297426,0.04003813155386082,0.006911344137273594,0.09318398474737846,0.19733079122974262,0.13179218303145854,0.0,0.04861773117254528,0.01334604385128694,0.012631077216396568,0.008817921830314586
family_type,family_with_children,cwgan,0.5116777883698761,0.03813155386081983,0.015490943755958055,0.07125834127740706,0.2171115347950429,0.14227836034318397,0.0,0.00023832221163012392,0.0009532888465204957,0.0,0.002859866539561487
family_type,family_with_children,cvae,0.45877025738798854,0.0657769304099142,0.03145853193517636,0.0877025738798856,0.23141086749285034,0.10438512869399429,0.0,0.010724499523355576,0.003098188751191611,0.00023832221163012392,0.006434699714013346
family_type,family_with_children,gan,0.6112964728312679,0.047664442326024785,0.020734032411820782,0.045996186844613915,0.2180648236415634,0.049332697807435655,0.0,0.00047664442326024784,0.004766444232602479,0.0,0.0016682554814108675
family_type,family_with_children,wgan,0.6785033365109628,0.026215443279313633,0.010724499523355576,0.03622497616777884,0.15514775977121067,0.09151572926596759,0.0,0.00023832221163012392,0.0007149666348903718,0.0,0.0007149666348903718
family_type,family_with_children,vae,0.7187797902764538,0.00667302192564347,0.004289799809342231,0.024547187797902766,0.1603908484270734,0.08174451858913251,0.0,0.0,0.0,0.0,0.003574833174451859
family_type,other,real,0.3872660885440438,0.06275673208580557,0.039479689639434046,0.09379278868096759,0.20036513007759013,0.16293929712460065,0.00022820629849383843,0.005933363760839799,0.01757188498402556,0.005020538566864446,0.02464628023733455
family_type,other,main,0.5082154267457781,0.018484710178000914,0.017800091282519397,0.00433591967138293,0.2464628023733455,0.19968051118210864,0.0,0.00022820629849383843,0.0,0.0,0.004792332268370607
family_type,other,main_no_nash,0.4650844363304427,0.0038795070743952533,0.020994979461433135,0.03925148334094021,0.03057964399817435,0.04221816522136011,0.19580100410771337,0.19694203560018256,0.0,0.002510269283432223,0.0027384755819260614
family_type,other,cgan,0.5839799178457326,0.014148790506617983,0.0,0.023048836147877682,0.21405750798722045,0.1430853491556367,0.0,0.015518028297581013,0.002510269283432223,0.003651300775901415,0.0
family_type,other,cwgan,0.471702418986764,0.036741214057507986,0.01574623459607485,0.05864901871291647,0.2715654952076677,0.141259698767686,0.0,0.0,0.00045641259698767686,0.0,0.0038795070743952533
family_type,other,cvae,0.4714742126882702,0.07211319032405294,0.04769511638521223,0.0759926973984482,0.20584208124144227,0.11296211775445002,0.0,0.0,0.0009128251939753537,0.003194888178913738,0.009812870835235053
family_type,other,gan,0.6241442263806481,0.039936102236421724,0.022136010953902326,0.049977179370150615,0.20356001825650388,0.05134641716111365,0.0,0.0009128251939753537,0.006846188954815153,0.0,0.0011410314924691922
family_type,other,wgan,0.6314468279324509,0.030807850296668188,0.012779552715654952,0.03217708808763122,0.17959835691465084,0.11113646736649932,0.0,0.0,0.0011410314924691922,0.0,0.0009128251939753537
family_type,other,vae,0.6853035143769968,0.005705157462345961,0.005020538566864446,0.02921040620721132,0.17434961204929256,0.0956184390689183,0.0,0.0,0.0,0.0,0.004792332268370607
